"","new_skill","MeanVal"
"1","Strategy",44098.15
"2","ETL",39606.25
"3","Misc",37909.48
"4","SQL",37710.12
"5","User Experience",33619.05
"6","Data Science",33359.5
"7","Distributed Systems",32953.7
"8","Technical Leadership",32663.16
"9","Information Retrieval",32294.44
"10","Python",31814.77
"11","Statistics",31360.38
"12","Analytics",31070.59
"13","Management",30741.08
"14","Data Mining",30543.14
"15","Algorithms",30322.83
"16","C++",30258.55
"17","Optimization",30098.97
"18","Machine Learning",29921.35
"19","Windows",29869.05
"20","Product Management",29767.68
"21","Software Design",29483.33
"22","Java",29271.79
"23","Big Data",29141.24
"24","Matlab",29040.83
"25","MapReduce",29005.38
"26","AWS",28980.39
"27","Relational Databases",28766.67
"28","Hadoop",28369.87
"29","Scalability",28320.51
"30","Deep Learning",28268.52
"31","Architecture",28208.33
"32","Computer Vision",27616.67
"33","Ruby",27243.59
"34","REST",26909.09
"35","Scala",26657.9
